Date,Ozone AQI Value,Site Name,Site ID,Source
1/8/2018,29,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/9/2018,31,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/10/2018,20,Anderson - North Street,06-089-0007,AQS
1/11/2018,32,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/12/2018,32,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/13/2018,34,Shasta Lake - Lake Blvd,06-089-0009,AQS
1/14/2018,31,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/15/2018,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/16/2018,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/17/2018,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/18/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/19/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/20/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/21/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/22/2018,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/23/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/24/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/25/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/26/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/27/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/28/2018,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/29/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/30/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
1/31/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/1/2018,35,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/2/2018,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/3/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/4/2018,34,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/5/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/6/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/7/2018,36,Shasta Lake - Lake Blvd,06-089-0009,AQS
2/8/2018,31,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/9/2018,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/10/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/11/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/12/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/13/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/14/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/15/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/16/2018,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/17/2018,41,Anderson - North Street,06-089-0007,AQS
2/18/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/19/2018,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/20/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/21/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/22/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/23/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/24/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/25/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/26/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/27/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
2/28/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/1/2018,39,Anderson - North Street,06-089-0007,AQS
3/2/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/3/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/4/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/5/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/6/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/7/2018,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/8/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/9/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/10/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/11/2018,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/12/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/13/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/14/2018,34,Redding - Health Department,06-089-0004,AQS
3/15/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/16/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/17/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/18/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/19/2018,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/20/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/21/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/22/2018,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
3/23/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/24/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/25/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/26/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/27/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/28/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/29/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
3/30/2018,45,Shasta Lake - Lake Blvd,06-089-0009,AQS
3/31/2018,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/1/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/2/2018,51,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/3/2018,49,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/4/2018,46,Anderson - North Street,06-089-0007,AQS
4/5/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/6/2018,28,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/7/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/8/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/9/2018,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/10/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/11/2018,49,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/12/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/13/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/14/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/15/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/16/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/17/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/18/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/19/2018,40,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/20/2018,40,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/21/2018,38,Anderson - North Street,06-089-0007,AQS
4/22/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/23/2018,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/24/2018,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/25/2018,64,Anderson - North Street,06-089-0007,AQS
4/26/2018,64,Shasta Lake - Lake Blvd,06-089-0009,AQS
4/27/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/28/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/29/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
4/30/2018,36,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/1/2018,39,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/2/2018,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/3/2018,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/4/2018,47,Anderson - North Street,06-089-0007,AQS
5/5/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/6/2018,61,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/7/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/8/2018,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/9/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/10/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/11/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/12/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/13/2018,40,Anderson - North Street,06-089-0007,AQS
5/14/2018,42,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/15/2018,37,Anderson - North Street,06-089-0007,AQS
5/16/2018,32,Anderson - North Street,06-089-0007,AQS
5/17/2018,35,Anderson - North Street,06-089-0007,AQS
5/18/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/19/2018,42,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/20/2018,38,Anderson - North Street,06-089-0007,AQS
5/21/2018,41,Anderson - North Street,06-089-0007,AQS
5/22/2018,48,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/23/2018,45,Anderson - North Street,06-089-0007,AQS
5/24/2018,45,Anderson - North Street,06-089-0007,AQS
5/25/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/26/2018,35,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/27/2018,40,Shasta Lake - Lake Blvd,06-089-0009,AQS
5/28/2018,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/29/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/30/2018,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
5/31/2018,35,Anderson - North Street,06-089-0007,AQS
6/1/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/2/2018,41,Anderson - North Street,06-089-0007,AQS
6/3/2018,50,Anderson - North Street,06-089-0007,AQS
6/4/2018,50,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/5/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/6/2018,77,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/7/2018,64,Shasta Lake - Lake Blvd,06-089-0009,AQS
6/8/2018,54,Anderson - North Street,06-089-0007,AQS
6/9/2018,38,Shasta Lake - Lake Blvd,06-089-0009,AQS
6/10/2018,37,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/11/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/12/2018,45,Anderson - North Street,06-089-0007,AQS
6/13/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/14/2018,50,Anderson - North Street,06-089-0007,AQS
6/15/2018,71,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/16/2018,58,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/17/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/18/2018,47,Anderson - North Street,06-089-0007,AQS
6/19/2018,42,Anderson - North Street,06-089-0007,AQS
6/20/2018,54,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/21/2018,51,Anderson - North Street,06-089-0007,AQS
6/22/2018,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/23/2018,67,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/24/2018,71,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/25/2018,48,Shasta Lake - Lake Blvd,06-089-0009,AQS
6/26/2018,90,Anderson - North Street,06-089-0007,AQS
6/27/2018,101,Shasta Lake - Lake Blvd,06-089-0009,AQS
6/28/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/29/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
6/30/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/1/2018,36,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/2/2018,39,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/3/2018,46,Anderson - North Street,06-089-0007,AQS
7/4/2018,51,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/5/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/6/2018,38,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/7/2018,45,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/8/2018,67,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/9/2018,50,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/10/2018,42,Anderson - North Street,06-089-0007,AQS
7/11/2018,45,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/12/2018,51,Anderson - North Street,06-089-0007,AQS
7/13/2018,64,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/14/2018,67,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/15/2018,51,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/16/2018,54,Anderson - North Street,06-089-0007,AQS
7/17/2018,80,Anderson - North Street,06-089-0007,AQS
7/18/2018,87,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/19/2018,71,Anderson - North Street,06-089-0007,AQS
7/20/2018,93,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/21/2018,54,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/22/2018,48,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/23/2018,49,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/24/2018,58,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/25/2018,58,Shasta Lake - Lake Blvd,06-089-0009,AQS
7/26/2018,97,Anderson - North Street,06-089-0007,AQS
7/27/2018,93,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/28/2018,108,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/29/2018,108,Anderson - North Street,06-089-0007,AQS
7/30/2018,108,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
7/31/2018,136,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/1/2018,143,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/2/2018,129,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/3/2018,101,Anderson - North Street,06-089-0007,AQS
8/4/2018,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/5/2018,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/6/2018,87,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/7/2018,80,Anderson - North Street,06-089-0007,AQS
8/8/2018,129,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/9/2018,129,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/10/2018,156,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/11/2018,97,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/12/2018,64,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/13/2018,100,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/14/2018,119,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/15/2018,100,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/16/2018,105,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/17/2018,77,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/18/2018,74,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/19/2018,77,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/20/2018,87,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/21/2018,80,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/22/2018,90,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/23/2018,100,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/24/2018,105,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
8/25/2018,126,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/26/2018,105,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/27/2018,71,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/28/2018,54,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/29/2018,46,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/30/2018,54,Shasta Lake - Lake Blvd,06-089-0009,AQS
8/31/2018,80,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/1/2018,84,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/2/2018,80,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/3/2018,84,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/4/2018,80,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/5/2018,74,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/6/2018,67,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/7/2018,90,Anderson - North Street,06-089-0007,AQS
9/8/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/9/2018,58,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/10/2018,77,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/11/2018,48,Anderson - North Street,06-089-0007,AQS
9/12/2018,40,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/13/2018,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/14/2018,45,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/15/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/16/2018,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/17/2018,51,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/18/2018,61,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/19/2018,46,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/20/2018,45,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/21/2018,74,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/22/2018,77,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/23/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/24/2018,44,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/25/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/26/2018,50,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/27/2018,80,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/28/2018,87,Shasta Lake - Lake Blvd,06-089-0009,AQS
9/29/2018,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
9/30/2018,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/1/2018,34,Anderson - North Street,06-089-0007,AQS
10/2/2018,26,Anderson - North Street,06-089-0007,AQS
10/3/2018,29,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/4/2018,26,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/5/2018,31,Shasta Lake - Lake Blvd,06-089-0009,AQS
10/6/2018,33,Shasta Lake - Lake Blvd,06-089-0009,AQS
10/7/2018,35,Shasta Lake - Lake Blvd,06-089-0009,AQS
10/8/2018,28,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/9/2018,40,Shasta Lake - Lake Blvd,06-089-0009,AQS
10/10/2018,31,Shasta Lake - Lake Blvd,06-089-0009,AQS
10/11/2018,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/12/2018,36,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/13/2018,39,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/14/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/15/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/16/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/17/2018,38,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/18/2018,41,Shasta Lake - Lake Blvd,06-089-0009,AQS
10/19/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/20/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/21/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/22/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/23/2018,50,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/24/2018,33,Redding - Health Department,06-089-0004,AQS
10/25/2018,32,Redding - Health Department,06-089-0004,AQS
10/26/2018,30,Shasta Lake - Lake Blvd,06-089-0009,AQS
10/27/2018,40,Redding - Health Department,06-089-0004,AQS
10/28/2018,35,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/29/2018,35,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/30/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
10/31/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/1/2018,34,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/2/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/3/2018,48,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/4/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/5/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/6/2018,47,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/7/2018,43,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/8/2018,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/9/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/10/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/11/2018,44,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/12/2018,35,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/13/2018,33,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/14/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/15/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/16/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/17/2018,41,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/18/2018,40,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/19/2018,42,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/20/2018,46,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/21/2018,45,Lassen Volcanic NP - Manzanita Lake Fire Station,06-089-3003,AQS
11/22/2018,21,Redding - Health Department,06-089-0004,AQS
